,tokens,ner_tags,sentence_id
0,As,O,0
1,Ukraine,O,0
2,continues,O,0
3,to,O,0
4,navigate,O,0
5,its,O,0
6,path,O,0
7,through,O,0
8,the,O,0
9,complexities,O,0
10,of,O,0
11,geopolitics,O,0
12,and,O,0
13,regional,O,0
14,dynamics,O,0
15,",",O,0
16,its,O,0
17,people,O,0
18,remain,O,0
19,resilient,O,0
20,",",O,0
21,drawing,O,0
22,strength,O,0
23,from,O,0
24,a,O,0
25,rich,O,0
26,tapestry,O,0
27,of,O,0
28,traditions,O,0
29,and,O,0
30,a,O,0
31,land,O,0
32,that,O,0
33,bears,O,0
34,witness,O,0
35,to,O,0
36,the,O,0
37,passage,O,0
38,of,O,0
39,time,O,0
40,.,O,0
41,Venturing,O,1
42,into,O,1
43,Europe,O,1
44,",",O,1
45,the,O,1
46,Alps,B-MOUNT,1
47,provide,O,1
48,a,O,1
49,geologically,O,1
50,rich,O,1
51,landscape,O,1
52,.,O,1
53,Peaks,O,2
54,like,O,2
55,Toubkal,B-MOUNT,2
56,",",O,2
57,the,O,2
58,highest,O,2
59,in,O,2
60,the,O,2
61,range,O,2
62,",",O,2
63,overlook,O,2
64,traditional,O,2
65,Berber,O,2
66,villages,O,2
67,",",O,2
68,offering,O,2
69,a,O,2
70,glimpse,O,2
71,into,O,2
72,a,O,2
73,timeless,O,2
74,way,O,2
75,of,O,2
76,life,O,2
77,that,O,2
78,has,O,2
79,adapted,O,2
80,to,O,2
81,the,O,2
82,rugged,O,2
83,terrain,O,2
84,.,O,2
85,Journeying,O,3
86,westward,O,3
87,",",O,3
88,the,O,3
89,Sierra,B-MOUNT,3
90,Nevada,I-MOUNT,3
91,Mountains,I-MOUNT,3
92,in,O,3
93,North,O,3
94,America,O,3
95,reveal,O,3
96,their,O,3
97,grandeur,O,3
98,",",O,3
99,with,O,3
100,the,O,3
101,iconic,O,3
102,peaks,O,3
103,of,O,3
104,Mount,B-MOUNT,3
105,Whitney,I-MOUNT,3
106,and,O,3
107,El,B-MOUNT,3
108,Capitan,I-MOUNT,3
109,dominating,O,3
110,the,O,3
111,landscape,O,3
112,.,O,3
113,Here,O,4
114,",",O,4
115,the,O,4
116,air,O,4
117,thins,O,4
118,as,O,4
119,one,O,4
120,ascends,O,4
121,",",O,4
122,revealing,O,4
123,a,O,4
124,world,O,4
125,of,O,4
126,snow-capped,O,4
127,summits,O,4
128,and,O,4
129,high-altitude,O,4
130,ecosystems,O,4
131,that,O,4
132,defy,O,4
133,the,O,4
134,imagination,O,4
135,.,O,4
136,Although,O,5
137,it’s,O,5
138,extremely,O,5
139,dry,O,5
140,",",O,5
141,it,O,5
142,is,O,5
143,a,O,5
144,centre,O,5
145,of,O,5
146,species,O,5
147,endemism,O,5
148,:,O,5
149,many,O,5
150,species,O,5
151,occur,O,5
152,only,O,5
153,there,O,5
154,and,O,5
155,nowhere,O,5
156,else,O,5
157,on,O,5
158,earth,O,5
159,.,O,5
160,The,O,6
161,Ukrainian,O,6
162,spirit,O,6
163,",",O,6
164,resilient,O,6
165,and,O,6
166,unwavering,O,6
167,",",O,6
168,finds,O,6
169,expression,O,6
170,in,O,6
171,the,O,6
172,vibrant,O,6
173,traditions,O,6
174,of,O,6
175,folk,O,6
176,music,O,6
177,",",O,6
178,dance,O,6
179,",",O,6
180,and,O,6
181,colorful,O,6
182,festivals,O,6
183,.,O,6
184,Mount,B-MOUNT,7
185,Fuji,I-MOUNT,7
186,",",O,7
187,an,O,7
188,iconic,O,7
189,symbol,O,7
190,of,O,7
191,Japan,O,7
192,",",O,7
193,stands,O,7
194,as,O,7
195,a,O,7
196,solitary,O,7
197,sentinel,O,7
198,",",O,7
199,its,O,7
200,perfectly,O,7
201,symmetrical,O,7
202,cone,O,7
203,reflected,O,7
204,in,O,7
205,serene,O,7
206,lakes,O,7
207,",",O,7
208,embodying,O,7
209,the,O,7
210,delicate,O,7
211,harmony,O,7
212,between,O,7
213,nature,O,7
214,and,O,7
215,culture,O,7
216,.,O,7
217,The,O,8
218,Rockies,B-MOUNT,8
219,",",O,8
220,with,O,8
221,their,O,8
222,towering,O,8
223,summits,O,8
224,and,O,8
225,crystalline,O,8
226,lakes,O,8
227,",",O,8
228,harbor,O,8
229,ecosystems,O,8
230,that,O,8
231,have,O,8
232,adapted,O,8
233,to,O,8
234,extreme,O,8
235,conditions,O,8
236,",",O,8
237,creating,O,8
238,a,O,8
239,haven,O,8
240,for,O,8
241,diverse,O,8
242,flora,O,8
243,and,O,8
244,fauna,O,8
245,.,O,8
246,In,O,9
247,the,O,9
248,vast,O,9
249,tapestry,O,9
250,of,O,9
251,our,O,9
252,planet,O,9
253,",",O,9
254,where,O,9
255,nature,O,9
256,weaves,O,9
257,its,O,9
258,intricate,O,9
259,patterns,O,9
260,across,O,9
261,continents,O,9
262,",",O,9
263,the,O,9
264,grandeur,O,9
265,of,O,9
266,the,O,9
267,Earth,O,9
268,unfolds,O,9
269,in,O,9
270,breathtaking,O,9
271,landscapes,O,9
272,that,O,9
273,range,O,9
274,from,O,9
275,the,O,9
276,towering,O,9
277,peaks,O,9
278,of,O,9
279,the,B-MOUNT,9
280,Caucasus,I-MOUNT,9
281,to,O,9
282,the,O,9
283,serene,O,9
284,valleys,O,9
285,of,O,9
286,the,B-MOUNT,9
287,Great,I-MOUNT,9
288,Dividing,I-MOUNT,9
289,Range,I-MOUNT,9
290,.,O,9
291,Imagine,O,10
292,standing,O,10
293,on,O,10
294,the,O,10
295,rugged,O,10
296,slopes,O,10
297,of,O,10
298,Kazbek,B-MOUNT,10
299,",",O,10
300,a,O,10
301,stratovolcano,O,10
302,in,O,10
303,the,O,10
304,Caucasus,B-MOUNT,10
305,Mountains,I-MOUNT,10
306,",",O,10
307,where,O,10
308,the,O,10
309,air,O,10
310,is,O,10
311,crisp,O,10
312,",",O,10
313,and,O,10
314,the,O,10
315,panorama,O,10
316,stretches,O,10
317,to,O,10
318,the,O,10
319,horizon,O,10
320,.,O,10
321,Nature's,O,11
322,masterpiece,O,11
323,extends,O,11
324,to,O,11
325,the,O,11
326,Southern,O,11
327,Hemisphere,O,11
328,",",O,11
329,where,O,11
330,the,O,11
331,Andes,B-MOUNT,11
332,continue,O,11
333,to,O,11
334,weave,O,11
335,their,O,11
336,magic,O,11
337,.,O,11
338,Peaks,O,12
339,like,O,12
340,Denali,B-MOUNT,12
341,",",O,12
342,the,O,12
343,tallest,O,12
344,in,O,12
345,North,B-MOUNT,12
346,America,I-MOUNT,12
347,",",O,12
348,pierce,O,12
349,the,O,12
350,Alaskan,O,12
351,sky,O,12
352,",",O,12
353,reminding,O,12
354,us,O,12
355,of,O,12
356,the,O,12
357,untamed,O,12
358,wilderness,O,12
359,that,O,12
360,still,O,12
361,thrives,O,12
362,in,O,12
363,the,O,12
364,northern,O,12
365,reaches,O,12
366,of,O,12
367,the,O,12
368,continent,O,12
369,.,O,12
370,Peaks,O,13
371,like,O,13
372,Gerlachovský,B-MOUNT,13
373,štít,I-MOUNT,13
374,and,O,13
375,Moldoveanu,B-MOUNT,13
376,rise,O,13
377,above,O,13
378,dense,O,13
379,forests,O,13
380,",",O,13
381,harboring,O,13
382,wolves,O,13
383,",",O,13
384,bears,O,13
385,",",O,13
386,and,O,13
387,a,O,13
388,rich,O,13
389,tapestry,O,13
390,of,O,13
391,flora,O,13
392,that,O,13
393,paints,O,13
394,the,O,13
395,mountains,O,13
396,with,O,13
397,vibrant,O,13
